"id";"bookName";"author";"publication";"language";"location";"numberOfCopies";"createdDateTime";"lastUpdatedDateTime"
"00355cfb-f06a-4c69-bedf-a032715c8cdd";"Shri Acharang Sutra -Volume 2";"Pu. Shri Pushpa bai Mahasatiji";"Shri Gurupran Foundation, Rajkot";"Gujarati";"Rack 2 - Aisle 5";1;"2021-10-03 19:51:58";"2021-10-03 19:51:58"
"0069e246-014f-497a-b9d3-3bc1134de230";"Bandhan Chhata Mukti";"Sa.Hemyashashriji";"Jai Jinendra Graphics";"Gujarati";"Rack 4 - Aisle 3";1;"2021-11-21 21:17:59";"2021-11-21 21:17:59"
"007c4aab-2d74-492e-9930-71a0bfb379d7";"Shrimad Rajachandra A Life";"Digish Mehta";"Shrimad Rajchandra Ashram";"English";"Rack 7 - Aisle 1";2;"2021-12-25 19:48:42";"2021-12-25 19:48:42"
"009a893b-f240-4f35-a90b-2176db130ef4";"Jain Ramayana Vol-3";"Shri Priyadarshan";"Shri Vishwakalyan Prakashan Trust";"Gujarati";"Rack 5 - Aisle 1";1;"2022-02-13 19:26:04";"2022-02-13 19:26:04"
"019d3e9a-b49f-4e3a-b0b0-8f3f1c5c34f4";"Shrimad Rajchandra Jivan Ane Kavan";"Dr. Rakeshbhai Jhaveri";"Shrimad Rajchandra Gyanmandir Trust";"Gujarati";"Rack 3 - Aisle 4";1;"2021-10-16 21:30:48";"2021-10-16 21:30:48"
"01bdbc38-9ea5-4d1e-aec4-e8b185c9160b";"Pravachan-Prabha";"Sadhvi Maniprabhashri";"Shri Vichakshan Prakashan";"Gujarati";"Rack 4 - Aisle 3";1;"2021-11-21 19:30:37";"2021-11-21 19:30:37"
"01c762e2-fba4-40e0-870e-7d169e9b98ba";"Twelve Facets Of Reality: The Jain Path To Freedom";"Gurudev Shree Chitrabahanu";"Jain Meditation International Center";"English";"Rack 8 - Aisle 2";1;"2022-02-06 20:32:34";"2022-02-06 20:32:34"
"01e97a00-163a-40db-aa13-e47e62a5258f";"Religion & Peace";"S. C. Diwaker";"All India Digamber Jain Sangh";"English";"Rack 7 - Aisle 2";1;"2021-12-26 20:48:16";"2021-12-26 20:48:16"
"02baede6-0b2f-4de5-95bf-b67a331eaf0c";"Jain Tatva Darshan Volume 4";"Kund Kund Kahan Digambar Jain Swadhyay Mandir";"Kund Kund Kahan Digambar Jain Swadhyay Mandir";"Gujarati";"Rack 2 - Aisle 5";2;"2021-10-03 20:13:54";"2021-10-03 20:13:54"
"02d2504d-d39a-4e25-85b2-8db8ba2c707c";"Pravachan-Parv Preaching Paradise ";"Aachaarya Vidyaasaagar";"Maitree Samooh";"English";"Rack 7 - Aisle 4";2;"2022-01-30 19:25:38";"2022-01-30 19:25:38"
"0331fa7b-e2a4-4b86-bf85-a6fbfbf06608";"Rishabh Jinesar Pritam Mahro Re.... Vol - 1";"Acharya Yashovijaysuri";"Acharya Omkarsurishwar Gyanmandir Gopipura, Surat";"Gujarati";"Rack 5 - Aisle 1";1;"2021-12-26 19:13:06";"2021-12-26 19:13:06"
