"id";"bookName";"author";"publication";"language";"location";"numberOfCopies";"createdDateTime";"lastUpdatedDateTime"
"07093857-9e1e-4dac-9a7c-70a56816d224";"Shri Kevadi Prabhu no saath - Volume 3";"Saryu Rajni Mehta";"Shreyas Pracharak Sabha ";"Gujarati";"Rack 1 - Isle 5";2;"2021-08-15 17:19:26";"2021-08-15 17:19:26"
"0898eda3-29e2-491b-a90c-6c295b03307e";"Aaptavani - Shreni 11(Uttarardh)";"Dr. Niruben Amin";"Dada Bhagwan Foundation (Madras) Vati";"Gujarati";"Rack 1 - Isle 3";1;"2021-08-21 16:46:26";"2021-08-21 16:46:26"
"0ab67775-ac9c-47f0-9ac5-c2ff9f1b7e35";"Shrimad Laghuraj Swami - Upadeshamrut";"Rajivbhai Chhaganbhai Desai";"Shrimad Rajchandra Ashram";"Gujarati";"";1;"2021-08-15 17:16:21";"2021-08-15 17:16:21"
"0b7ec7cf-8a89-4ed4-8f67-f84ebbe93a73";"Jin Bhakti";"Shrimad Rajchandra Adhyatmik Satsang Sadhna Kendra";"Shrimad Rajchandra Adhyatmik Satsang Sadhna Kendra";"Gujarati";"Rack 1 - Isle 3";3;"2021-08-21 16:42:43";"2021-08-21 16:42:43"
"0baacdbc-b4b0-492d-afc8-272c7c9b13b6";"Bhav Aalochana";"Shri Juhu Scheme Jain Sangh Parla";"Shri Juhu Scheme Jain Sangh Parla";"Gujarati";"";1;"2021-08-21 16:11:53";"2021-08-21 16:11:53"
"0d51ba47-2503-4c07-b5f1-84f5bcd30cb5";"Samyak Sopan Banave Bhagwan";"Shri Vanitabai Mahasatiji 'Vinay'";"Jaindarshan Prakashan";"Gujarati";"";1;"2021-08-21 17:54:53";"2021-08-21 17:54:53"
"0db33187-3fc9-4011-ae44-f552949a830e";"Pushpamada";"Parasbhai Jain";"Shrimad Rajchandra Janma Bhuvan";"Gujarati";"Rack 1 - Isle 4";3;"2021-08-21 15:36:00";"2021-08-21 15:36:00"
"0de05d55-460d-4054-93b4-65d41b11a38d";"Raj-Ratnamada";"Manubhai B Modi";"Manubhai B Modi";"Gujarati";"";1;"2021-08-15 17:53:27";"2021-08-15 17:53:27"
"11f8ad90-a6fa-4fd3-8a41-ed35546b1349";"Aaradhnakram";"Shrimad Rajchandra Gyanmandir Trust";"Shrimad Rajchandra Gyanmandir Trust";"Gujarati";"";1;"2021-08-21 17:35:21";"2021-08-21 17:35:21"
"1257907c-574f-4c51-9e51-541723270895";"Aatmasidhhishastra";"Rakeshbhai Zaveri";"Shrimad Rajchandra Aashram Dharampur";"Gujarati";"";1;"2021-08-21 15:38:53";"2021-08-21 15:38:53"
"147d2226-b75a-4902-bdb4-382b4b73cfab";"Sambodhi";"Acharya Mahapragya";"Jain Vishwabharti";"Gujarati";"Rack 1 - Isle 2";12;"2021-08-21 16:24:19";"2021-08-21 16:24:19"
"14a5273d-d798-490a-94b3-40e7c0a743a7";"Muni! Tu savadh rehje";"Acharya Vijay Ratnasundarsuri";"Ratnatrai Trust";"Gujarati";"";1;"2021-08-21 16:23:25";"2021-08-21 16:23:25"
"177f6a3b-0fbe-46c7-b334-d4b1f8b447e5";"Aatmasidhhishastra";"India House Of Worship";"India House Of Worship";"Gujarati";"";2;"2021-08-21 17:20:17";"2021-08-21 17:20:17"
"195578c8-f568-4fa5-80c2-abf27cd3afe1";"Karmastav";"Dhirajlal Dahyalal Mehta";"Jain Dharma Prasaran Trust - Surat";"Gujarati";"Rack 1 - Isle 1";5;"2021-09-04 15:33:15";"2021-09-04 15:33:15"
"1b2453ce-71ec-4e3b-8f4d-504c9509d1a4";"Rajbhakti";"Shrimad Rajchandra Adhyatmik Satsang Sadhna Kendra";"Shrimad Rajchandra Adhyatmik Satsang Sadhna Kendra";"Gujarati";"Rack 1 - Isle 3";4;"2021-09-04 17:46:51";"2021-09-04 17:46:51"
"1be09865-a844-41a3-9c58-d1a323e5565d";"Sachitra Jivan Katha";"Manubhai B Modi";"Manubhai B Modi";"Gujarati";"";1;"2021-08-15 17:43:21";"2021-08-15 17:43:21"
